,Ερώτηση,Απάντηση 1,Απάντηση 2,Απάντηση 3,Απάντηση 4,Σωστή απάντηση,Όνομα εικόνας
Food,Which nut is used to make dynamite?,Peanuts,Walnuts,Pine nuts,Almonds,Peanuts,Χωρίς Εικόνα
Food,What was the first cold breakfast cereal invented in 1863?,Granola,Corn flakes,Bran flakes,Cheerios,Granola,Χωρίς Εικόνα
Food,Who invented Coca-Cola?,John Pemberton,Asa Griggs Candler,Charles Elmer Hires,John Matthews,John Pemberton,Χωρίς Εικόνα
Food,How many calories per gram are stored in protein?,4,3,2,5,4,Χωρίς Εικόνα
Food,What is the only U.S. state to grow coffee beans?,Hawaii,California,Louisiana,Florida,Hawaii,Χωρίς Εικόνα
Food,What does the word “onion” mean in Latin?,Large pearl,Small oyster,White sphere,White oyster,Large pearl,Χωρίς Εικόνα
Food,What is the only edible food that never expires?,Honey,Rye,Barley,White rice,Honey,Χωρίς Εικόνα
Food,What condiment was sold in the 1830’s as medicine?,Ketchup,Maple syrup,Ranch dressing,Soy sauce,Ketchup,Χωρίς Εικόνα
Food,What is a tall chef’s hat called?,Toque,Skull cap,Bucket hat,Trilby,Toque,Χωρίς Εικόνα
Food,How many flowers do honeybees need to visit in order to make one pound of honey?,2 million,1 million,1.5 million,"900,000",2 million,Χωρίς Εικόνα
Ζώα,Πόσο διαρκεί η εγκυμοσύνη ενός σκύλου (σε μέρες);,58-68,49-59,32-42,70-90,58-86,Χωρίς Εικόνα
Music,Ποιο από τα παρακάτω έγχορδα μουσικά όργανα είναι το μεγαλύτερο (σε μέγεθος);,Βιολί,Κοντραμπάσσο,Βιόλα,Τσέλο,Κοντραμπάσσο,Χωρίς Εικόνα
Sports,Ποιος κατέκτησε το Χρυσό Παπούτσι στο Μουντιάλ;,Ρομελού Λουκάκου,Αντουάν Γριεζμάν,Χάρι Κέιν,Κριστιάνο ρονάλντο,Χάρι Κέιν,Χωρίς Εικόνα
Sports,Πόσοι προπονητές έκατσαν στον πάγκο του Ολυμπιακού το 2018;,3,5,2,4,3,Χωρίς Εικόνα
